64.233.172.107,49192,115.243.144.129,80,1672529373,TCP,GET,http://ec2-65-0-81-65.ap-south-1.compute.amazonaws.com/men/tops-men/jackets-men.html?size=168&style_general=121,ec2-65-0-81-65.ap-south-1.compute.amazonaws.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36  Chrome/85.0.4183.121 Safari/537.36,,200,text/html
10.30.31.10,101,Jain,5000,1672535742,TCP,GET,http://ec2-65-0-81-65.ap-south-1.compute.amazonaws.com/men/bottoms-men.html?material=144&style_bottom=107,ec2-65-0-81-65.ap-south-1.compute.amazonaws.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36  Edge/16.16299 Safari/537.36,http://google.com,500,text/html
64.233.172.107,49192,115.243.144.129,80,1672529373,TCP,GET,http://ec2-65-0-81-65.ap-south-1.compute.amazonaws.com/men/tops-men/jackets-men.html?size=168&style_general=121,ec2-65-0-81-65.ap-south-1.compute.amazonaws.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36  Chrome/85.0.4183.121 Safari/537.36,,200,text/html
192.168.1.1,22435,115.243.144.129,80,1672542434,TCP,GET,http://ec2-65-0-81-65.ap-south-1.compute.amazonaws.com/customer/account/login/referer/aHR0cDovL2VjMi02NS0wLTgxLTY1LmFwLXNvdXRoLTEuY29tcHV0ZS5hbWF6b25hd3MuY29tL21lbi9ib3R0b21zLW1lbi9wYW50cy1tZW4uaHRtbD9jbGltYXRlPTIwNQ~~/,ec2-65-0-81-65.ap-south-1.compute.amazonaws.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36  Safari/537.36,,200,text/html
64.233.172.107,49192,115.243.144.129,80,1672529373,TCP,GET,http://ec2-65-0-81-65.ap-south-1.compute.amazonaws.com/men/tops-men/jackets-men.html?size=168&style_general=121,ec2-65-0-81-65.ap-south-1.compute.amazonaws.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36  Chrome/85.0.4183.121 Safari/537.36,,200,text/html
192.168.1.1,22435,115.243.144.129,80,1672542434,TCP,GET,http://ec2-65-0-81-65.ap-south-1.compute.amazonaws.com/customer/account/login/referer/aHR0cDovL2VjMi02NS0wLTgxLTY1LmFwLXNvdXRoLTEuY29tcHV0ZS5hbWF6b25hd3MuY29tL21lbi9ib3R0b21zLW1lbi9wYW50cy1tZW4uaHRtbD9jbGltYXRlPTIwNQ~~/,ec2-65-0-81-65.ap-south-1.compute.amazonaws.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36  Safari/537.36,,200,text/html
64.233.172.107,49192,115.243.144.129,80,1672529373,TCP,GET,http://ec2-65-0-81-65.ap-south-1.compute.amazonaws.com/men/tops-men/jackets-men.html?size=168&style_general=121,ec2-65-0-81-65.ap-south-1.compute.amazonaws.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36  Chrome/85.0.4183.121 Safari/537.36,,200,text/html
192.168.1.1,22435,115.243.144.129,80,1672542434,TCP,GET,http://ec2-65-0-81-65.ap-south-1.compute.amazonaws.com/customer/account/login/referer/aHR0cDovL2VjMi02NS0wLTgxLTY1LmFwLXNvdXRoLTEuY29tcHV0ZS5hbWF6b25hd3MuY29tL21lbi9ib3R0b21zLW1lbi9wYW50cy1tZW4uaHRtbD9jbGltYXRlPTIwNQ~~/,ec2-65-0-81-65.ap-south-1.compute.amazonaws.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36  Safari/537.36,,200,text/html
64.233.172.107,49192,115.243.144.129,80,1672529373,TCP,GET,http://ec2-65-0-81-65.ap-south-1.compute.amazonaws.com/men/tops-men/jackets-men.html?size=168&style_general=121,ec2-65-0-81-65.ap-south-1.compute.amazonaws.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36  Chrome/85.0.4183.121 Safari/537.36,,200,text/html
192.168.1.1,22435,115.243.144.129,80,1672542434,TCP,GET,http://ec2-65-0-81-65.ap-south-1.compute.amazonaws.com/customer/account/login/referer/aHR0cDovL2VjMi02NS0wLTgxLTY1LmFwLXNvdXRoLTEuY29tcHV0ZS5hbWF6b25hd3MuY29tL21lbi9ib3R0b21zLW1lbi9wYW50cy1tZW4uaHRtbD9jbGltYXRlPTIwNQ~~/,ec2-65-0-81-65.ap-south-1.compute.amazonaws.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36  Safari/537.36,,200,text/html
64.233.172.107,49192,115.243.144.129,80,1672529373,TCP,GET,http://ec2-65-0-81-65.ap-south-1.compute.amazonaws.com/men/tops-men/jackets-men.html?size=168&style_general=121,ec2-65-0-81-65.ap-south-1.compute.amazonaws.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36  Chrome/85.0.4183.121 Safari/537.36,,200,text/html
192.168.1.1,22435,115.243.144.129,80,1672542434,TCP,GET,http://ec2-65-0-81-65.ap-south-1.compute.amazonaws.com/customer/account/login/referer/aHR0cDovL2VjMi02NS0wLTgxLTY1LmFwLXNvdXRoLTEuY29tcHV0ZS5hbWF6b25hd3MuY29tL21lbi9ib3R0b21zLW1lbi9wYW50cy1tZW4uaHRtbD9jbGltYXRlPTIwNQ~~/,ec2-65-0-81-65.ap-south-1.compute.amazonaws.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36  Safari/537.36,,200,text/html
